time,distance,angle1,pos1x,pos1y,angle2,pos2x,pos2y
1017.241,365.6868912,113.6760438,155.4811288,178.6826093,-2.37142272,-184.4625934,56.13291175
1017.288,370.8007616,117.0348164,167.6071664,172.4948002,-15.17218433,-188.0502621,69.36310849
1017.333,378.2358734,129.343272,178.2046063,163.8075224,-35.40805775,-196.0357029,80.59636927
1017.378,386.6661732,154.7228555,184.1115982,151.2982717,-64.07423099,-208.5068409,86.65896147
1017.417,392.4313811,-165.3732879,180.5816045,137.7722722,-98.50561211,-222.2780065,84.59946795
1017.463,393.1247844,-117.0197309,168.053102,131.3832458,-133.6303965,-232.3615259,74.98685631
1017.511,391.9476216,-70.65303218,154.8024851,136.0357435,-167.5780181,-235.3557447,61.39323751
1017.552,392.5387168,-31.41890978,147.5188251,147.9594433,157.8832651,-230.1129079,48.49249838
1017.599,394.536108,1.092804389,147.7840218,161.8620313,121.3471571,-218.2031379,41.23781202
1017.647,395.5470928,28.44563408,154.3827991,174.0430159,83.80006436,-204.3292913,42.74497831
1017.694,393.8387945,127.5680593,165.3368324,178.597667,47.96126986,-193.9773573,52.07858
1017.739,383.5997956,150.5060678,172.1356236,166.5778743,22.36147424,-188.7134709,64.87413937
1017.786,374.4029275,167.4136813,175.1316876,153.1592046,5.958546756,-187.2867183,78.54391324
1017.833,367.6357734,179.433333,175.2671831,139.4596782,-3.677226596,-188.1638605,92.19211394
1017.88,363.1171845,-172.0747215,173.383043,125.9252761,-8.794411098,-190.2479228,105.6630282
1017.926,360.3715109,-165.8796667,170.0549638,112.6955103,-11.16592201,-192.882294,119.0092319
1017.973,358.9878931,-160.8874957,165.5921987,99.81690422,-12.1538151,-195.7434644,132.2945062
1018.021,358.639724,-156.0951914,160.0699147,87.3579851,-12.79353914,-198.7520163,145.543612
1018.069,359.0282045,-150.586257,153.373549,75.48051279,-13.82174364,-201.9987616,158.7403696
1018.116,359.8317874,-143.590801,145.2716443,64.49504968,-15.653531,-205.667854,171.8343381
1018.161,360.6889124,-134.6027162,135.5387882,54.89623969,-161.6575566,-209.9498833,178.7361117
1018.209,359.4088231,-125.5894522,124.4221281,46.94058785,-163.0663797,-213.9093462,165.7314245
1018.255,350.8364942,-125.009685,113.2946116,39.14621338,25.09712611,-208.1797192,177.9644657
1018.302,355.6162001,46.15635059,123.0324509,48.49871668,-151.519074,-214.6441943,166.0489259
1018.348,351.9179416,-135.2914597,113.4820625,38.8506663,35.56298446,-206.7814726,177.0464629
1018.394,351.670974,34.51623817,121.1249434,49.96437815,-137.1079896,-215.9811982,167.1436102
1018.44,354.0302309,-147.5922893,113.8528136,38.50874309,47.86177953,-205.9406788,176.2280891
1018.487,348.0475249,21.59515457,118.8147625,51.0442926,-121.1857454,-217.4731326,169.2477078
1018.534,356.789314,-160.9478414,114.3868967,38.2227652,61.02494063,-205.6035236,175.8203867
1018.58,345.1003274,8.372377035,116.3501328,51.56227213,-105.0753867,-218.5916032,172.3219188
1018.627,359.6601536,-174.5814759,115.069616,38.06240576,-106.7355403,-231.612308,168.4067149
1018.666,371.2999156,-162.2059971,110.8818082,25.01421963,120.0354559,-238.6337484,161.5428676
1018.713,372.2195072,-144.9711426,102.9881123,13.75292949,105.8159488,-225.4310459,157.8029098
1018.759,356.0526701,-144.3494195,95.06951405,2.712952129,-71.23672132,-238.2709066,162.164774
1018.807,364.6948218,-132.8352525,85.02670665,-6.598273619,77.93154308,-238.8130213,165.0180811
1018.853,360.3439385,-124.3323977,73.74240596,-14.30525507,75.58760459,-225.6376912,168.4039694
1018.899,354.6905953,47.3969898,83.68460528,-5.161970071,100.1029907,-238.8400939,166.0275967
1018.947,371.4500361,54.538126,94.80370375,2.758047694,86.65295461,-225.1489875,166.8283005
1018.993,366.3430769,56.1056058,106.0890227,10.3398647,78.30987772,-211.768967,169.596764
1019.038,349.7893414,-127.3715938,95.31647089,2.112086531,-92.47946369,-225.2542236,169.0128276
1019.085,355.1126087,-123.9557287,84.02394286,-5.492131139,91.40792761,-211.7071886,168.6798697
1019.132,345.7395531,40.25381072,92.70342362,4.759102956,-75.33162549,-224.7259762,172.0876053
1019.18,362.1970316,41.08559804,101.6334733,15.00100686,-79.52865709,-238.1210853,174.5633128
1019.227,383.0784387,58.44314702,113.3531877,22.198863,104.6070957,-238.7801329,171.0753383
1019.273,394.3241002,82.75464351,127.0659275,23.94221452,68.28299555,-225.8265441,176.2346511
1019.321,398.1585088,109.1061529,140.1468555,19.41096383,151.8755132,-219.235781,178.6466857
1019.368,405.1700848,144.1861632,148.2985123,8.114164174,104.7054284,-205.6443618,175.0796672
1019.413,398.0103712,177.5338824,148.8971895,-5.786426935,115.3049428,-193.0057094,178.6685185
1019.459,388.8130281,-151.9803145,142.3744318,-18.04378857,101.3610351,-179.1817053,178.8226046
1019.505,373.5717597,-132.9461966,132.2946273,-27.4256774,101.3397513,-165.4830638,178.8228968
1019.553,358.5808557,-128.7169491,121.6658961,-35.94606028,100.7588956,-152.1360744,176.2867447
1019.601,346.9043024,38.70805362,130.0857965,-25.43933356,-112.8545932,-164.54771,178.6901127
1019.647,359.7424064,39.14596171,138.6615896,-14.90410095,-114.5969996,-176.9112753,173.0304137
1019.694,371.6726355,48.44095883,148.8926823,-5.833582602,-128.2696351,-187.680342,164.5347804
1019.741,386.3806487,67.67666738,161.6328717,-0.602388241,-156.6502839,-193.1751549,151.8063806
1019.787,399.4048276,95.83358961,175.4226559,-2.011271593,161.9448886,-188.8379564,138.5014155
1019.834,403.7283267,128.2559365,186.3409861,-10.62042353,116.2165618,-176.2446785,132.3002323
1019.88,399.0847076,159.9926144,191.0958488,-23.67906373,75.13185426,-162.7222606,135.8902205
1019.928,391.7599752,-169.8713128,188.6546778,-37.34408696,41.37187908,-153.5235117,146.3344822
1019.966,385.6502819,-139.5110031,179.6400265,-47.90299295,13.7215972,-150.236689,159.7955173
1020.013,381.011241,-107.6939709,166.3993304,-52.12710295,-9.289643785,-152.4659925,173.4245089
1020.06,377.5716464,-75.11923574,152.9599491,-48.55599106,-151.1387098,-159.1154041,178.6415184
1020.106,372.2600143,-47.10144554,142.8065362,-39.12133487,-165.3987241,-162.5747468,165.3621094
1020.154,354.5872483,-37.58109648,134.466252,-28.28386049,19.01402759,-158.1615065,178.1689033
1020.202,345.1850889,-37.45577098,126.2068288,-17.50274885,-147.1710613,-165.4541946,166.8654086
1020.248,358.4199381,128.5917186,136.7198631,-25.89270627,-147.5909994,-172.7347743,155.3970333
1020.295,372.077334,129.2393762,147.2427243,-34.48699139,-161.6683334,-177.0501927,142.3725646
1020.342,382.1145229,140.6242685,155.9301453,-45.07236884,174.2171437,-175.6575933,128.6217566
1020.39,385.0591038,156.9504332,161.3110076,-57.71845761,147.1580399,-168.1460903,116.9849102
1020.437,381.1574614,171.8622808,163.2544049,-71.30933326,124.0005785,-156.695854,109.26146
1020.484,374.0415172,-178.7496688,162.9560318,-84.97995803,107.9590613,-143.6249121,105.0247765
1020.531,367.2393791,-176.0646618,162.0221853,-98.55472504,98.71968221,-130.1105456,102.9520365
1020.577,347.3406215,-0.175231944,161.9807477,-85.00589411,-69.62093928,-142.7406421,107.6438738
1020.623,353.9132279,2.336984937,162.5355207,-71.41208757,115.4658328,-130.5169469,101.8224154
1020.669,350.321618,163.7631029,166.2834789,-84.28170402,-55.85578517,-141.6925792,109.4014714
1020.716,373.1804488,169.5795742,168.7502106,-97.69493522,-71.03623402,-154.6790801,113.8638978
